"287737575605665793","130106 104918","池上彰の本に「借金ができる」ということはそれだけ信用があるということだという指摘があった。住宅ローンがその代表だと。最近よく聞く住宅ローンで持ち家という批判を汲みつつも、そのメリットも提示できるのはさすが。"
"287732617317597184","130106 102936","宵越しの酔い"
"287528493930135552","130105 205829","義理チ○コ vs. 本命チ○コ"
"287523699144396800","130105 203926","RT @kishiayum1: ブライダル系アカウントにフォローされた♥婚期近づいてる~♥"
"287516969878581249","130105 201242","フェルト生地のマフラーを使い出すと、他のマフラーはチクチクしていて使う気にならなくなってきた。"
"287513050876096513","130105 195707","Vimを使ってくれてありがとう (嘲笑)"
"287512290322939904","130105 195406","絶対零度はもはや絶対零度ではない...だと...? http://t.co/0rBx9RVa"
"287489478652747777","130105 182327","マイクロソフトに何者かが侵入し社内にあった iPad を盗難 → 「マイクロソフトの製品は盗まれなかったorz」 http://t.co/bzrn8eUg"
"287472677269164033","130105 171641","Huluもオワコンか、黒船感あったのになぁ。やはり資金調達先ってめちゃくちゃ重要なんですね。 http://t.co/ldQCDWt2"
"287472020827025408","130105 171405","濃密な資料だなぁ / ICTベンチャー人材確保ガイドライン.pdf - https://t.co/iNCImSMx"
"287457160667996160","130105 161502","RT @miharamasujirou: ちなみにミャンマーの若者のデートスポットはお寺です。仏の前でいちゃいちゃするのです。"
"287457146256367616","130105 161459","RT @miharamasujirou: それ位信心深く、貞操観念が強いミャンマー。お寺以外のデートスポットはお寺の近くにある公園だそうです。どんだけ何もないんだww"
"287457009496887296","130105 161426","@pekoya たぶん洗濯槽の裏側まではやってくれていないと思います。作業自体楽しいのでやってみてください！"
"287455242352721920","130105 160725","シャブリと牡蠣もいいけど、ボウモアと牡蠣は最高ですよ。"
"287454781738455040","130105 160535","@yutayokoyan (　✧≖´◞౪◟≖｀)"
"287454688440381440","130105 160513","お茶と言えばマリアージュフレールだよね。"
"287454484878209024","130105 160424","シーチキンとマヨネーズってワイン業界用語で言うところの「マリアージュ」ってやつだよね。"
"287454078798290944","130105 160247","@yutayokoyan 日記とは違うけど http://t.co/D811RnIu は使ってる？ 登録しておいて損はしないと思う！"
